"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "TypeScript", "XML", "TypeScript JSX", "JSON", "SCSS", "comment", "blank", "total"
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\Nav.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 0, 0, 2, 3, 83
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\ParentalControlWindow.jsx", "JavaScript JSX", 0, 0, 208, 0, 0, 0, 0, 0, 5, 13, 226
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\Search.jsx", "JavaScript JSX", 0, 0, 99, 0, 0, 0, 0, 0, 0, 4, 103
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\SettingWindow.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 0, 2, 9, 151
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\Sidebar.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\rohit\Documents\GitHub\chat-app\src\components\userChatWindow\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 690, 25, 79, 794
"c:\Users\rohit\Documents\GitHub\chat-app\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\rohit\Documents\GitHub\chat-app\src\context\ChatContext.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\rohit\Documents\GitHub\chat-app\src\firebase.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\rohit\Documents\GitHub\chat-app\src\index.css", "CSS", 7, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\rohit\Documents\GitHub\chat-app\src\main.jsx", "JavaScript JSX", 0, 0, 29, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\rohit\Documents\GitHub\chat-app\src\ui\Spotlight.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 3, 57
"c:\Users\rohit\Documents\GitHub\chat-app\src\ui\background-gradient-animation.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 0, 8, 172
"c:\Users\rohit\Documents\GitHub\chat-app\src\ui\google-gemini-effect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 149, 0, 0, 1, 6, 156
"Total", "-", 213, 16, 2482, 5, 16, 367, 3, 690, 114, 264, 4170
